,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
21,2020-07-16,2020-07-15,torontosun,https://torontosun.com/news/local-news/toronto-man-accused-of-sex-assault-kidnapping-aboard-powerboat,"Toronto man accused of sex assault, kidnapping aboard powerboat",00:00:00,00:06:01,361.0
22,2020-07-16,2020-07-16,ctvnews,https://northernontario.ctvnews.ca/timmins-man-who-dognapped-12-year-old-black-lab-in-feb-now-faces-charges-1.5026885,Timmins man who dognapped 12-year-old black lab in Feb. now faces charges,00:00:00,00:04:46,286.0
23,2020-07-16,2020-07-14,northdeltareporter,https://www.northdeltareporter.com/entertainment/b-c-s-virtual-soundon-concerts-kick-off-with-sounds-of-surrey-festival/,B.C.’s virtual ‘SoundON’ concerts kick off with sounds of Surrey festival – North Delta Reporter,00:00:00,00:03:53,233.0
24,2020-07-16,2020-07-16,torontosun,https://torontosun.com/news/national/u-of-t-lab-results-finds-coating-on-mask-deactivates-99-of-sars-cov-2-virus,U of T lab results finds coating on mask 'deactivates' 99% of SARS-CoV-2 virus,00:00:00,00:04:15,255.0
25,2020-07-16,2020-07-15,ctvnews,https://winnipeg.ctvnews.ca/i-did-think-i-was-going-to-die-hiker-recovering-after-being-attacked-by-a-bear-in-riding-mountain-national-park-1.5025707,'I did think I was going to die': Hiker recovering after being attacked by a bear in Riding Mountain National Park,00:00:00,00:01:48,108.0
26,2020-07-16,2020-07-16,thestar,https://www.thestar.com/business/2020/07/16/canadian-hospitality-workers-fear-long-term-unemployment-in-the-sector.html,Hospitality workers fearing long-term unemployment seek government action,00:00:00,00:03:33,213.0
27,2020-07-16,2020-07-15,ctvnews,https://calgary.ctvnews.ca/turk-the-turkey-finds-a-new-home-in-bridgeland-1.5025675,'Turk' the turkey finds a new home in Bridgeland,00:00:00,00:06:22,382.0
28,2020-07-16,2020-07-16,torontosun,https://driving.ca/ford/mustang/reviews/road-test/want-a-2020-ford-mustang-ecoboost-consider-its-competitors-first/,Want a 2020 Ford Mustang EcoBoost? Consider its competitors first,00:00:00,00:05:57,357.0
29,2020-07-16,2020-07-16,torontosun,https://torontosun.com/news/national/u-of-t-lab-results-finds-coating-on-mask-deactivates-99-of-sars-cov-2-virus,U of T lab results finds coating on mask 'deactivates' 99% of SARS-CoV-2 virus,00:00:00,00:10:02,602.0
30,2020-07-17,2020-07-16,ctvnews,https://kitchener.ctvnews.ca/here-s-how-restaurants-are-preparing-to-welcome-back-dine-in-customers-1.5027054,Here's how restaurants are preparing to welcome back dine-in customers,00:00:00,00:04:08,248.0
31,2020-07-17,2020-07-17,ctvnews,https://bc.ctvnews.ca/police-in-vancouver-push-back-against-defund-movement-1.5028218,Police in Vancouver push back against 'defund' movement,00:00:00,00:07:26,446.0
32,2020-07-17,2020-07-14,abbynews,https://www.abbynews.com/trending-now/video-abbotsford-agrifair-shares-more-about-drive-thru-safari-concept/,VIDEO: Abbotsford Agrifair shares more about Drive-Thru Safari concept – Abbotsford News,00:00:00,00:09:03,543.0
33,2020-07-17,2020-07-15,ctvnews,https://bc.ctvnews.ca/stricter-measures-needed-after-several-flights-with-covid-19-cases-onboard-henry-1.5025106,Stricter measures needed after several flights with COVID-19 cases onboard: Henry,00:00:00,00:10:05,605.0
34,2020-07-17,2020-07-16,ctvnews,https://www.ctvnews.ca/sci-tech/twitter-breach-troubling-undermines-trust-experts-say-1.5026405,"Twitter breach troubling, undermines trust, experts say",00:00:00,00:04:06,246.0
35,2020-07-17,2020-07-17,torontosun,https://torontosun.com/news/local-news/hospital-to-take-over-running-north-york-seniors-facility-villa-colombo,Hospital to take over running North York seniors' facility Villa Colombo,00:00:00,00:09:39,579.0
36,2020-07-17,2020-07-17,thestar,https://www.thestar.com/life/homes/advice/2020/07/17/if-you-love-the-gardens-make-them-part-of-your-purchase-offer.html,"If you love the gardens, make them part of your purchase offer: Ask Joe",00:00:00,00:04:11,251.0
37,2020-07-17,2020-07-15,ctvnews,https://edmonton.ctvnews.ca/it-turned-to-pure-horror-parkland-county-woman-held-at-gunpoint-during-robbery-1.5026245,'It turned to pure horror': Parkland County woman held at gunpoint during robbery,00:00:00,00:09:41,581.0
