,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
21,2020-07-16,2020-07-16 00:00:00,thestar,https://www.thestar.com/life/relationships/advice/2020/07/16/my-widowed-mom-wants-to-set-up-house-with-her-new-lover-ask-ellie.html,My widowed mom wants to set up house with her new lover. Ask Ellie,00:00:00,00:07:29,449.0
22,2020-07-16,2020-07-16 00:00:00,abbynews,https://www.abbynews.com/entertainment/tradex-in-abbotsford-holds-two-outdoor-concerts/,Tradex in Abbotsford holds two outdoor concerts – Abbotsford News,00:00:00,00:09:02,542.0
23,2020-07-16,2020-07-14 00:00:00,ctvnews,https://bc.ctvnews.ca/3-200-pounds-of-rice-recovered-in-warehouse-full-of-stolen-goods-police-say-1.5024427,"3,200 pounds of rice recovered in warehouse full of stolen goods, police say",00:00:00,00:05:55,355.0
24,2020-07-16,2020-07-16 00:00:00,thestar,https://www.thestar.com/life/opinion/2020/07/16/justin-trudeaus-a-better-leader-than-trump-but-family-dysfunction-has-ensnared-them-both.html,"Justin Trudeau’s a better leader than Trump, but family dysfunction has ensnared them both",00:00:00,00:10:37,637.0
25,2020-07-16,2020-07-16 00:00:00,ctvnews,http://london.ctvnews.ca/one-new-covid-19-case-in-middlesex-london-mask-rules-in-some-counties-start-friday-1.5026941,"One new COVID-19 case in Middlesex-London, mask rules in some counties start Friday",00:00:00,00:10:13,613.0
26,2020-07-16,2020-07-16 00:00:00,thestar,https://www.thestar.com/entertainment/2020/07/16/celebrity-news-watchmen-sequel-rorschach-met-with-unease-memoir-about-trump-nears-a-million-sold-lgbtq-characters-in-film-declines-study-finds.html,"Celebrity news: ‘Watchmen’ sequel ‘Rorschach’ met with unease; memoir about Trump nears a million sold; LGBTQ characters in film declines, study finds",00:00:00,00:07:56,476.0
27,2020-07-16,2020-07-16 00:00:00,abbynews,https://www.abbynews.com/entertainment/tradex-in-abbotsford-holds-two-outdoor-concerts/,Tradex in Abbotsford holds two outdoor concerts – Abbotsford News,00:00:00,00:03:02,182.0
28,2020-07-16,2020-07-16 00:00:00,thestar,https://www.thestar.com/entertainment/2020/07/16/magic-school-bus-author-joanna-cole-dies-at-age-75.html,‘Magic School Bus’ author Joanna Cole dies at age 75,00:00:00,00:01:15,75.0
29,2020-07-16,2020-07-16 00:00:00,ctvnews,https://regina.ctvnews.ca/sask-reports-42-new-covid-19-cases-highest-single-day-rise-1.5026568,Sask. reports 42 new COVID-19 cases; highest single day rise,00:00:00,00:03:48,228.0
30,2020-07-17,2020-07-14 00:00:00,ctvnews,https://winnipeg.ctvnews.ca/we-can-t-continue-to-live-in-fear-premier-backs-campaign-urging-canadians-to-visit-manitoba-1.5024467,'We can’t continue to live in fear': Premier backs campaign urging Canadians to visit Manitoba,00:00:00,00:01:10,70.0
31,2020-07-17,2020-07-14 00:00:00,ctvnews,https://www.ctvnews.ca/sci-tech/demand-for-robot-cooks-rises-as-kitchens-combat-covid-19-1.5023490,Demand for robot cooks rises as kitchens combat COVID-19,00:00:00,00:03:56,236.0
